file,field,idx_col,sort_order,reg_dtype,ext_type
circuits.csv,circuitId,1,3,uint32,uint32
circuits.csv,circuitRef,,,object,string
circuits.csv,name,,2,object,string
circuits.csv,location,,,object,string
circuits.csv,country,,1,object,string
circuits.csv,lat,,,float64,Float64
circuits.csv,lng,,,float64,Float64
circuits.csv,alt,,,float64,Float64
circuits.csv,url,,,object,string
constructor_results.csv,constructorResultsId,1,3,uint32,uint32
constructor_results.csv,raceId,,1,uint32,uint32
constructor_results.csv,constructorId,,,uint32,uint32
constructor_results.csv,points,,2,float64,Float64
constructor_results.csv,status,,,category,category
constructor_standings.csv,constructorStandingsId,1,4,uint32,uint32
constructor_standings.csv,raceId,,1,uint32,uint32
constructor_standings.csv,constructorId,,,uint32,uint32
constructor_standings.csv,points,,2,float64,Float64
constructor_standings.csv,position,,,uint8,uint8
constructor_standings.csv,positionText,,,object,string
constructor_standings.csv,wins,,3,uint8,uint8
constructors.csv,constructorId,1,2,uint32,uint32
constructors.csv,constructorRef,,,object,string
constructors.csv,name,,1,object,string
constructors.csv,nationality,,,object,string
constructors.csv,url,,,object,string
driver_standings.csv,driverStandingsId,1,4,uint32,uint32
driver_standings.csv,raceId,,1,uint32,uint32
driver_standings.csv,driverId,,,uint32,uint32
driver_standings.csv,points,,2,float64,Float64
driver_standings.csv,position,,,uint8,uint8
driver_standings.csv,positionText,,,object,string
driver_standings.csv,wins,,3,uint8,uint8
drivers.csv,driverId,1,4,uint32,uint32
drivers.csv,driverRef,,,object,string
drivers.csv,number,,,float16,UInt8
drivers.csv,code,,,object,string
drivers.csv,forename,,2,object,string
drivers.csv,surname,,1,object,string
drivers.csv,dob,,3,datetime64,datetime64
drivers.csv,nationality,,,object,string
drivers.csv,url,,,object,string
lap_times.csv,raceId,,1,uint32,uint32
lap_times.csv,driverId,,,uint32,uint32
lap_times.csv,lap,,2,uint8,uint8
lap_times.csv,position,,3,uint8,uint8
lap_times.csv,time,,,object,string
lap_times.csv,milliseconds,,,uint32,uint32
pit_stops.csv,raceId,,1,uint32,uint32
pit_stops.csv,driverId,,,uint32,uint32
pit_stops.csv,stop,,4,uint8,uint8
pit_stops.csv,lap,,3,uint8,uint8
pit_stops.csv,time,,2,object,string
pit_stops.csv,duration,,,object,string
pit_stops.csv,milliseconds,,,uint32,uint32
qualifying.csv,qualifyId,1,3,uint32,uint32
qualifying.csv,raceId,,1,uint32,uint32
qualifying.csv,driverId,,,uint32,uint32
qualifying.csv,constructorId,,,uint32,uint32
qualifying.csv,number,,,uint8,uint8
qualifying.csv,position,,2,uint8,uint8
qualifying.csv,q1,,,object,string
qualifying.csv,q2,,,object,string
qualifying.csv,q3,,,object,string
races.csv,raceId,1,3,uint32,uint32
races.csv,year,,,uint16,uint16
races.csv,round,,,uint8,uint8
races.csv,circuitId,,,uint32,uint32
races.csv,name,,,object,string
races.csv,date,,1,datetime64,datetime64
races.csv,time,,2,object,string
races.csv,url,,,object,string
results.csv,resultId,1,3,uint32,uint32
results.csv,raceId,,1,uint32,uint32
results.csv,driverId,,,uint32,uint32
results.csv,constructorId,,,uint32,uint32
results.csv,number,,,float64,UInt8
results.csv,grid,,,uint8,uint8
results.csv,position,,,float64,UInt8
results.csv,positionText,,,object,string
results.csv,positionOrder,,2,uint8,uint8
results.csv,points,,,float64,Float64
results.csv,laps,,,uint8,uint8
results.csv,time,,,object,string
results.csv,milliseconds,,,float64,UInt32
results.csv,fastestLap,,,float64,UInt8
results.csv,rank,,,object,string
results.csv,fastestLapTime,,,object,string
results.csv,fastestLapSpeed,,,float64,Float64
results.csv,statusId,,,uint16,uint16
seasons.csv,year,,1,uint16,uint16
seasons.csv,url,,,object,string
status.csv,statusId,1,1,uint16,uint16
status.csv,status,,,object,string
